name,category,cuisine,ingredients,description,method,created_by
Spaghetti Bolognese,Pasta,Italian,"300g spaghetti;400g ground beef;1 onion, chopped;2 cloves garlic, minced;400g canned crushed tomatoes;2 tablespoons tomato paste;1 teaspoon dried oregano;1 teaspoon dried basil;Salt and pepper, to taste","Classic Italian pasta dish with a rich meaty sauce served over al dente spaghetti.","Cook spaghetti according to package instructions. Drain and set aside.;In a large pan, brown the ground beef over medium heat. Add the chopped onion and minced garlic. Cook until the onion is translucent.;Stir in the crushed tomatoes, tomato paste, dried oregano, dried basil, salt, and pepper. Simmer for 15-20 minutes, allowing the flavors to meld together.;Serve the sauce over the cooked spaghetti."
Pizza Margherita,Pizza,Italian,"Pizza dough;Tomato sauce;Mozzarella cheese;Fresh basil leaves;Olive oil;Salt and pepper, to taste","Traditional Italian pizza topped with fresh tomato sauce, mozzarella cheese, and fragrant basil leaves.","Preheat the oven to the temperature recommended for the pizza dough.;Roll out the pizza dough on a floured surface to your desired thickness.;Spread tomato sauce evenly over the dough, leaving a small border around the edges.;Sprinkle grated mozzarella cheese over the sauce.;Tear fresh basil leaves and distribute them over the cheese.;Drizzle olive oil over the pizza and season with salt and pepper.;Bake the pizza in the preheated oven according to the dough instructions, until the crust is golden and the cheese is melted and bubbly.;Slice and serve hot."
Beef Tacos,Tacos,Mexican,"500g ground beef;1 onion, chopped;2 cloves garlic, minced;1 tablespoon chili powder;1 teaspoon cumin;1 teaspoon paprika;Salt and pepper, to taste;Tortillas;Toppings: shredded lettuce, diced tomatoes, shredded cheese, salsa, sour cream","Flavorful Mexican tacos made with seasoned ground beef and an array of delicious toppings.","In a large skillet, brown the ground beef over medium heat. Add the chopped onion and minced garlic. Cook until the beef is no longer pink and the onion is translucent.;Stir in the chili powder, cumin, paprika, salt, and pepper. Cook for an additional 2-3 minutes to allow the flavors to meld together.;Warm the tortillas in a separate pan or in the oven.;Fill each tortilla with a portion of the seasoned ground beef.;Top with shredded lettuce, diced tomatoes, shredded cheese, salsa, and sour cream.;Serve the tacos hot and enjoy!"
Chicken Enchiladas,Enchiladas,Mexican,"2 cups cooked shredded chicken;1 onion, chopped;2 cloves garlic, minced;1 teaspoon chili powder;1 teaspoon cumin;Salt and pepper, to taste;Tortillas;Enchilada sauce;Shredded cheese;Toppings: diced tomatoes, sliced olives, chopped cilantro","Satisfying Mexican dish featuring rolled tortillas filled with tender shredded chicken, smothered in enchilada sauce, and topped with melted cheese.","Preheat the oven to the temperature recommended for the enchilada sauce.;In a skillet, saute the chopped onion and minced garlic until the onion is translucent.;Add the shredded chicken, chili powder, cumin, salt, and pepper to the skillet. Stir to combine and heat through.;Warm the tortillas in the microwave or oven.;Spoon a portion of the chicken mixture onto each tortilla and roll it up.;Place the rolled enchiladas in a baking dish. Pour enchilada sauce over the top and sprinkle with shredded cheese.;Bake in the preheated oven until the cheese is melted and bubbly.;Garnish with diced tomatoes, sliced olives, and chopped cilantro before serving."
Pad Thai,Noodles,Thai,"Rice noodles;300g shrimp, peeled and deveined;2 cloves garlic, minced;1 tablespoon tamarind paste;1 tablespoon fish sauce;1 tablespoon sugar;2 eggs, beaten;Bean sprouts;Chopped peanuts;Lime wedges","Popular Thai stir-fried noodle dish with a perfect balance of sweet, sour, and savory flavors, topped with crunchy peanuts and a squeeze of lime.","Soak the rice noodles in hot water until they are softened. Drain and set aside.;Heat oil in a wok or large skillet over medium heat. Add the minced garlic and saute until fragrant.;Add the peeled and deveined shrimp to the wok. Cook until they turn pink and are cooked through.;Push the shrimp to one side of the wok and pour the beaten eggs into the other side. Scramble the eggs until they are mostly cooked.;Add the soaked rice noodles to the wok. Stir in tamarind paste, fish sauce, and sugar. Toss everything together until well combined.;Add bean sprouts and chopped peanuts to the wok. Stir-fry for an additional minute.;Serve Pad Thai hot, garnished with lime wedges."
Green Curry,Curry,Thai,"500g chicken, cut into pieces;1 can coconut milk;2 tablespoons green curry paste;1 cup vegetables (such as bell peppers, bamboo shoots, and eggplant);Fish sauce, to taste;Sugar, to taste;Fresh basil leaves;Jasmine rice, for serving","Delicious Thai curry made with fragrant green curry paste, tender chicken, and assorted vegetables, served with aromatic jasmine rice.","Heat a small amount of oil in a large pot or wok. Add the green curry paste and saute for a minute until fragrant.;Add the chicken pieces to the pot and cook until they are no longer pink.;Pour in the coconut milk and stir to combine. Bring to a gentle simmer.;Add the vegetables to the pot and cook until they are tender-crisp.;Season the curry with fish sauce and sugar to taste, adjusting the flavors to your liking.;Tear fresh basil leaves and stir them into the curry.;Serve the green curry hot over jasmine rice."
Steak Fajitas,Fajitas,Mexican,"500g steak, sliced;1 onion, sliced;1 bell pepper, sliced;2 cloves garlic, minced;1 tablespoon chili powder;1 teaspoon cumin;1 teaspoon paprika;Salt and pepper, to taste;Tortillas;Toppings: sour cream, guacamole, salsa","Flavorful Mexican dish featuring marinated steak, sauteed onions and bell peppers, served with warm tortillas and a variety of tasty toppings.","In a bowl, combine the sliced steak, minced garlic, chili powder, cumin, paprika, salt, and pepper. Allow the steak to marinate for at least 30 minutes.;Heat a large skillet or griddle over medium-high heat. Add the marinated steak and cook until it reaches your desired level of doneness.;Remove the steak from the skillet and set it aside.;In the same skillet, add the sliced onion and bell pepper. Saute until they are tender and slightly charred.;Warm the tortillas in a separate pan or in the oven.;Slice the cooked steak into strips and return them to the skillet to heat through with the onions and peppers.;Serve the steak fajitas hot, accompanied by warm tortillas and your favorite toppings."
Chicken Tikka Masala,Curry,Indian,"500g chicken, cut into pieces;1 onion, chopped;2 cloves garlic, minced;1 tablespoon ginger, grated;1 tablespoon garam masala;1 teaspoon turmeric;1 teaspoon paprika;1 cup tomato puree;1 cup heavy cream;Fresh cilantro, for garnish;Naan bread, for serving","Creamy and aromatic Indian curry featuring tender chicken in a spiced tomato and cream-based sauce, served with fluffy naan bread.","In a large pan, heat oil over medium heat. Add the chopped onion, minced garlic, and grated ginger. Saute until the onion is soft and translucent.;Add the chicken pieces to the pan and cook until they are lightly browned on all sides.;In a small bowl, combine garam masala, turmeric, and paprika. Sprinkle the spice mixture over the chicken and stir to coat.;Pour in the tomato puree and simmer for about 10 minutes to allow the flavors to develop.;Stir in the heavy cream and continue to cook for another 5-10 minutes.;Garnish with fresh cilantro before serving. Serve the chicken tikka masala with naan bread on the side."
Sushi Rolls,Sushi,Japanese,"Sushi rice;Nori seaweed sheets;Assorted fillings (such as fish, avocado, cucumber, and crab sticks);Soy sauce;Wasabi;Pickled ginger","Artful Japanese dish consisting of rolled sushi filled with a variety of ingredients, served with soy sauce, wasabi, and pickled ginger.","Cook sushi rice according to package instructions and let it cool to room temperature.;Lay a sheet of nori seaweed on a sushi mat or a clean, damp kitchen towel.;Spread a thin layer of sushi rice over the nori, leaving about 1 inch of space at the top.;Arrange your choice of fillings in a line across the center of the rice.;Use the sushi mat or towel to tightly roll the nori and rice around the fillings, using gentle pressure.;Moisten the top edge of the nori with water to seal the roll.;Slice the sushi roll into bite-sized pieces using a sharp knife.;Serve the sushi rolls with soy sauce, wasabi, and pickled ginger."
Ramen Noodle Soup,Ramen,Japanese,"Ramen noodles;500ml chicken or vegetable broth;Sliced pork belly or chicken;Soft-boiled egg;Green onions, chopped;Nori seaweed;Soy sauce;Sesame oil","Hearty Japanese soup with chewy ramen noodles, flavorful broth, tender slices of pork or chicken, and an assortment of toppings.","Cook the ramen noodles according to package instructions. Drain and set aside.;In a separate pot, heat the chicken or vegetable broth until it comes to a simmer.;Add the sliced pork belly or chicken to the simmering broth and cook until they are fully cooked.;Prepare soft-boiled eggs by cooking them for about 6 minutes and then transferring them to an ice bath to cool. Peel and set aside.;Divide the cooked ramen noodles into serving bowls.;Pour the hot broth with the meat over the noodles.;Garnish with chopped green onions, nori seaweed, and a drizzle of soy sauce and sesame oil.;Place a soft-boiled egg on top of each bowl of ramen and serve hot."
